ProductDescriptionID;Culture;Description
"45";"he    ";"???? ????? ?????? ????? ????? ????? ???????."
"65";"th    ";"????????????????????????????????????????????????"
"14";"he    ";"????? ?- ML ??? ????? ????????? ????? ???? ??????? ????? ????? ?????? ??? ?????? HL ????. ??? ????? ??????? ??????. ????? ?????."
"123";"he    ";"???? ????? ?????? ????? ????? ??????."
"96";"fr    ";"Cuvettes en alliage d'aluminium�; axe de grand diam�tre."
"86";"th    ";"?????????????????????? ?????????????????????"
"105";"ar    ";"???? ???? ????? ?????? ???????? ????? ??? ???? ????? ????? ?? ??????????."
"77";"zh-cht";"??????????????????????"
"59";"ar    ";"???? ?????? ??? ???????? ??? ?????? ??????? ?????? ???????? ????? ???? ??????? ?????? ???????? ????? ???????."
"46";"he    ";"???? ????? ???? ??????? ?????? ?????."
"8";"fr    ";"Utilise la m�me technologie de cadre que celle adopt�e sur le cadre en aluminium ML."
"26";"en    ";"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
"102";"en    ";"All-weather brake pads; provides superior stopping by applying more surface to the rim."
"18";"th    ";"????????????????????????????????????????? ?????????????????????????????????"
"115";"th    ";"?????????????????????????????????? ?????????????????????????"
"16";"he    ";"????? ?- ML, ?????? ?????? ????????? ??? ??? ?????? ????? ????? HL ???? ?????? ????, ???????? ???? ?????? ??? ???? ?????? ????? ?????? ????? ????? ????????. ????? ??????."
"65";"ar    ";"????? ???? ?????? ????? ??? ??????? ?????? ?????."
"55";"fr    ";"Barre d'appui plate suffisamment solide pour le circuit professionnel."
"39";"he    ";"??????? ??? ??? ????? ???????. ??????? ??? ?????."
"127";"zh-cht";"??????"
"74";"th    ";"????????????????????????????????????????????????????????????"
"107";"he    ";"???? 2 ???? ??-?????? ?????? ???? ???? ????? ????, ???? ??? ?????? ?????? ???????."
"41";"th    ";"???????? ??????? ????????????????????????????????????????????????  ????????????????????????????????????????????????????????????????????"
"73";"he    ";"???? ????? ????? ?????? ????? ????? ??????."
"57";"ar    ";"???? ????? ?????? ????? ????? ?? ?????????? ?????? ?????? ????? ?? ???? ?????? ??????? ?????? ???? ???????."
"17";"en    ";"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
"28";"he    ";"??????? ????? ??????? ????? ????? ?????? ??????? ????? ???? ?????? ??????. ????? ??????????? ????? ????? ?? ???????? ??????? ????? ??????? ?????? ?? ?? ??? ?????."
"18";"en    ";"Combination of natural and synthetic fibers stays dry and provides just the right cushioning."
"65";"he    ";"????? ??? ????? ??? ??????? ??????."
"63";"zh-cht";"????????????????"
"10";"ar    ";"???? ???? ?????????? ???? ??????? ???? ????? ??? ????? ???? ???????? ????? ?????? ?????? ?? ????? ??????. ???? ??????? ????????? ???? ????? ??????."
"112";"fr    ";"Porte-bidon en aluminium robuste qui maintient le bidon sur les terrains accident�s."
"117";"th    ";"????????? ??????????  ?????????????????????????????????"
"89";"th    ";"?????????????????????????????????"
"48";"fr    ";"Barre d'appui en aluminium l�g�re et solide pour les longues randonn�es."
"105";"th    ";"????????????????? ???????????????????????????"
"82";"en    ";"Lightweight foam-padded saddle."
"24";"fr    ";"Fin, l�ger et r�sistant avec des poignets qui restent en place."
"33";"he    ";"???? ?????????, ??????? ????, ???-????, ?? ?????? ??????."
"10";"zh-cht";"???????????????????????????????????????????"
"60";"ar    ";"???? ???????? ????? ??????? ??????? ?? ??????."
"121";"ar    ";"????? ????? ?????? ????? ???? ???????? ??????? ??????? ?? ??????."
"66";"fr    ";"Selle confortable et ergonomique profil�e avec couvre-selle en gel."
"92";"he    ";"?????? ?? ????? ?????."
"13";"fr    ";"Cuissards de course pour hommes�- en Spandex avec un �lastique � la ceinture et bande anti-remont�e."
"76";"zh-cht";"???????????????"
"15";"ar    ";"?? ???? ML ?? ???? ????? ?? ?????????? ?????? ??????? ????? ???? ?????? ????? ???? HL ????? ???. ??? ???? ????? ??????. ?????? ???????."
"79";"zh-cht";"????????????????"
"48";"en    ";"A light yet stiff aluminum bar for long distance riding."
"71";"ar    ";"????? ????? ??????? ?????? ????? ?????? ?? ?????????? ???????."
"102";"zh-cht";"??????????????????????????????"
"12";"en    ";"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers."
"96";"zh-cht";"?????????????"
"31";"zh-cht";"?????????????????????????????????"
"78";"fr    ";"Roue arri�re solide avec jante doubl�e."
"18";"ar    ";"?????? ?? ?????? ??????? ???????? ??? ?????? ??????? ????? ?????? ??????."
"13";"th    ";"?????????? 8 ???????????????????? - ??????????????????????????????????????"
"14";"fr    ";"Le cadre ML est un cadre en aluminium trait� � chaud fabriqu� avec le m�me niveau de d�tail et de qualit� que notre cadre HL. Il offre des performances exceptionnelles. Version femmes."
"4";"he    ";"????? ???, ?????? ????? ?????? ???????, ?????? ????? ?? ???, ????? ????? ??????."
"3";"en    ";"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders."
"45";"fr    ";"Roue de secours tout-terrain pour v�t�tiste amateur � confirm�."
"25";"en    ";"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
"27";"fr    ";"Tout terrain, course ou promenade entre amis sur un v�lo a�rodynamique et l�ger (cadre femmes). B�n�ficie d'un syst�me de selle perfectionn� qui offre un confort optimal."
"20";"he    ";"?????? ?????? ?????? ??????. ??????? ??? ??? ?? ?????. ???????? ??? ???? ????? ?- HL Frame (????? HL) ??? ??? ?????? ???? Mountain-100 (100-????)"
"10";"th    ";"???????????????????????? ????????????????????????????? ??????????????  ???????????????????????????????????"
"52";"he    ";"????? ??? ???? ?????? ???? ????????."
"93";"he    ";"?????? ???????????? ??? ????."
"107";"zh-cht";"??? 70 ????????????????????"
"81";"en    ";"Anatomic design for a full-day of riding in comfort. Durable leather."
"52";"fr    ";"Barre d'appui tous usages pour conduite sur route ou tout-terrain."
"17";"th    ";"?????????????????????????????????????????????? HL ???? ML ??????????????? ???????????????????????????????????????????  ???????????????????????"
"62";"en    ";"Expanded platform so you can ride in any shoes; great for all-around riding."
"10";"fr    ";"Cadre renforc� l�ger pour une position plus droite�; id�al pour les promenades en ville. Ligne remarquable pour un confort optimal."
"86";"fr    ";"Grande traction, caoutchouc haute densit�."
"39";"ar    ";"?????? ????? ????? ??????? ??? ????? ??? ???????. ????? ??? ???????."
"30";"ar    ";"???? ????? ??? ??? ????? ?????????? ??? ????? ??????? ?? ????? ???? ?????? ????????. ???? ????? ????? ??? ????? ?? ?? ???? ???? ????? ????? ?? ???????."
"127";"fr    ";"Conception liaison large."
"68";"ar    ";"??????? ??? ????? ???????? ?? ??????????."
"121";"fr    ";"Garde-boue adapt� � la plupart des VTT."
"67";"ar    ";"???? ????? ?? ?????? ?????? ???? ?? ?????? ????? ???????."
"117";"ar    ";"????? ?????? ?????. ??? ??? ??????? ????? ?? ???? ???????."
"36";"fr    ";"V�lo de qualit� pour tous usages, dot� d'un bon niveau de confort et de s�curit�. Pr�sente des pneus plus larges et plus stables pour les sorties en ville ou les randonn�es du week-end."
"74";"he    ";"???? ????? ????? ?????? ????? ????? ????? ???????."
"99";"he    ";"??? ???? ??????."
"68";"fr    ";"P�dales automatiques�- aluminium."
"30";"zh-cht";"??????????????????????????????????????????????????"
"15";"th    ";"???? ML ?????????????????????????????? ??????????????????????????????????? HL  ??????????????????????????  ????????????????????????"
"98";"zh-cht";"????????"
"104";"en    ";"Stout design absorbs shock and offers more precise steering."
"86";"ar    ";"??? ?? ?????? ???? ???? ???????."
"54";"ar    ";"????? ????? ???? ?? ????? ?????????? ?????? ??????? ??? ?????????."
"101";"th    ";"???????????????? ??????????????????? ????????????????????????????????"
"51";"en    ";"Strong wheel with double-walled rim."
"75";"en    ";"Extra-strong rims guarantee durability."
"111";"th    ";"?????????????? AWC - ????? 30 ????? ??????????????????????"
"75";"he    ";"??????? ????? ?????? ???????? ??????."
"53";"fr    ";"P�dale stable pour longs trajets."
"43";"th    ";"??????????????????????????????????????????"
"88";"en    ";"Same great treads as more expensive tire with a less expensive wire bead casing."
"78";"ar    ";"???? ????? ???? ????? ????? ?? ??????."
"124";"he    ";"???? ????? ?????? ????? ????? ????? ???????."
"108";"th    ";"??????????????????????????????????????????????? - ???????????? AAA 3 ????"
"82";"he    ";"???? ??-???? ????? ????."
"9";"zh-cht";"LL ?????????????????????????????????"
"33";"zh-cht";"???????????????????"
"42";"ar    ";"???? ???????? ????? ??????? ?? ?????? ?????? ???????? ?????????."
"104";"he    ";"????? ??? ???? ??????? ????? ????? ????? ????."
"37";"he    ";"??????? ????? ??????? ??????, ????? ????? ????????? ???? ????? ??????? ???? ????? ???? ?? ????-???????? ?????? ?????."
"104";"fr    ";"Conception robuste permettant d'absorber les chocs et d'offrir une conduite plus pr�cise."
"49";"he    ";"???? ????? ???? ?????? ???? ????? ??????."
"52";"en    ";"All-purpose bar for on or off-road."
"114";"fr    ";"Comprend 8�rustines de tailles diff�rentes, de la colle et du papier de verre."
"45";"th    ";"??????????????????????????????????????????????????????????"
"113";"fr    ";"Le porte-bidon en aluminium est plus l�ger que la version VTT�; id�al pour les longues randonn�es."
"85";"zh-cht";"???????????????????????????"
"76";"fr    ";"Roue de secours arri�re pour cycliste occasionnel."
"111";"zh-cht";"?? AWC ???????? 30 ????????"
"23";"en    ";"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
"108";"he    ";"????? ????? ???? ?????? ????? ????? ? ????? ??????? ????? AAA"
"60";"he    ";"???? ????? ????? ???? ?????."
"18";"fr    ";"Combinaison de fibres naturelles et synth�tiques�; reste s�che et offre le confort n�cessaire."
"113";"th    ";"??????????????????????????????????????? ????????????????????????????"
"20";"en    ";"Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100."
"64";"th    ";"??????????? ????????????????????????????????????"
"123";"ar    ";"???? ???????? ????? ??????? ?? ?????? ?????? ???????? ?????????."
"83";"th    ";"????????????????????"
"115";"he    ";"???? ?????? ????? ???? ??????, ???? ???? ?????? ??????."
"87";"fr    ";"Traction exceptionnelle�; carbone l�ger renforc�."
"88";"he    ";"????? ???? ???? ???? ??????? ??????? ????? ????, ???? ?? ????? ???? ???? ???? ????."
"36";"he    ";"????? ????? ??? ???? ?? ?????? ?????? ???????? ???????? ????. ?????? ?????? ????? ??????? ???? ?????? ????? ???? ?? ?????? ???????."
"32";"th    ";"?????????????????????? ??????????????? ?????????????? ??????? ???????????????? 3 ??"
"114";"en    ";"Includes 8 different size patches, glue and sandpaper."
"100";"th    ";"?????????????????????????"
"44";"th    ";"????????????????????????????????????????????"
"81";"th    ";"??????????????????????? ???????????????????????????????????  ?????????????????"
"2";"th    ";"??????????? ??????????? ??????????????"
"35";"fr    ";"La selle rembourr�e offre un confort optimal. Le porte-bagages nouvellement remani� offre diverses possibilit�s d'ajout de paniers ou de sacoches. Ce v�lo reste parfaitement stable une fois charg�."
"66";"ar    ";"???? ???????? ???? ???? ?????? ?? ???? ?????."
"51";"zh-cht";"????????????"
"58";"fr    ";"Con�u pour la comp�tition�; barre d'appui ergonomique haut de gamme en alliage d'aluminium."
"65";"zh-cht";"????????????????"
"47";"zh-cht";"??????????????????????"
"50";"en    ";"Sturdy alloy features a quick-release hub."
"118";"th    ";"??????????????? 4 ??????????????? ?????????????????????? ?????????????????? 2 ????"
"64";"ar    ";"?????? ?? ??????? ???? ?? ????? ????? ?? ?????? ?????? ????? ??????."
"1";"fr    ";"Sacs l�gers et r�sistants au vent�; tiennent dans la poche."
"13";"he    ";"????? ????? ????? ????????, 8 ????? ? ?????? ?????? ?? ????? ?????? ?????? ??????."
"106";"he    ";"???? ???? ????? ?? ?????? ????? ???????? ??????."
"106";"en    ";"High-performance carbon road fork with curved legs."
"67";"he    ";"????? ????? ?????? ???? ????."
"105";"zh-cht";"??????????????????"
"63";"fr    ";"P�dales automatiques l�g�res et robustes avec tension r�glable."
"76";"ar    ";"???? ????? ????? ?????? ???????? ?????????."
"29";"en    ";"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
"39";"zh-cht";"???????????????????????????"
"120";"zh-cht";"????????????????????????????"
"123";"th    ";"???????????????????????????????????????????????"
"56";"fr    ";"Forme tr�s r�ussie destin�e � faciliter l'acc�s aux leviers."
"12";"fr    ";"Con�u pour l'�quipe professionnelle AWC, � bretelles, contr�le de l'humidit�, peau de chamois et bande anti-remont�e."
"48";"th    ";"???????????????????????????? ??? ????????????????????????"
"24";"th    ";"??? ?????????? ???????? ??????????????????????"
"64";"he    ";"???? ??-???; ????? ????? ??? ?????."
"100";"en    ";"High-strength crank arm."
"89";"en    ";"Higher density rubber."
"127";"ar    ";"????? ???? ???????."
"75";"fr    ";"Jantes tr�s robustes, solidit� garantie."
"77";"he    ";"????? ??????? ????????? ?? ??????? ????? ??-???; ?????? ???????."
"109";"fr    ";"Feu avant rechargeable � deux faisceaux."
"70";"he    ";"?????? ?????? ????? ?????? ??????? ?? ???? ???????."
"117";"zh-cht";"????????????????"
"118";"he    ";"???? 4 ????? ??????? ?????; ???? ????; ????? ????? ???? ?? 2 ????'."
"66";"zh-cht";"?????????????????"
"16";"fr    ";"Dot� du m�me alliage en aluminium que notre cadre HL haut de gamme, le ML poss�de un tube l�ger dont le diam�tre est pr�vu pour offrir une r�sistance optimale. Version hommes."
"99";"en    ";"Super rigid spindle."
"3";"fr    ";"Paume synth�tique, poignets souples, ouverture maill�e anti-transpiration. Adopt� par les professionnels de l'�quipe AWC."
"114";"ar    ";"???? 8 ??? ??? ?????? ?????? ????? ????? ?????? ???? ?????."
"38";"fr    ";"Collants chauds en Spandex pour l'hiver�; fabrication en chamoisine sans couture pour �liminer les points de frottement."
"73";"th    ";"???????????????????????????????????????????????????"
"4";"zh-cht";"??????????????????????????"
"124";"en    ";"Replacement mountain wheel for the casual to serious rider."
"120";"en    ";"Durable, water-proof nylon construction with easy access. Large enough for weekend trips."
"22";"he    ";"??????? ??? ?????? ??? ??????? ????? ????? ????.  ?? ????? ????? ?????? ??????? ""??? ???"" ??????? ???? ????????."
"67";"zh-cht";"??????????????"
"20";"zh-cht";"????????????????????????????? Mountain-100 ??? HL ???"
"25";"fr    ";"Ce v�lo est destin� aux champions cyclistes. Mis au point par une �quipe cycliste professionnelle, ce v�lo poss�de un cadre en aluminium trait� � chaud extr�mement l�ger et un guidon qui permet une conduite tr�s pr�cise."
"120";"th    ";"????? ???????????????? ??????????  ????????????????????????????????????????????"
"23";"zh-cht";"??????????????????????????????????????????????"
"19";"en    ";"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
"104";"ar    ";"????? ??? ???? ??????? ????? ????? ???? ???."
"70";"fr    ";"P�dales automatiques haut de gamme avec tension r�glable."
"35";"he    ";"????? ?????? ??????? ????? ????? ????? ????? ???? ???? ????? ???? ?? ?????? ???? ???? ????? ??????? ????? ????? ????. ??????? ??? ?????? ?? ?????? ?? ????? ???."
"2";"he    ";"????? ?????? ?? ?????? ???????; ???? ??? ????? ?????."
"118";"zh-cht";"??????????????????????????"
"8";"he    ";"?????? ????? ????? ???? ?????? ?????????? ????? ?????? ??? ??? ?????? ?????? ML ??????????."
"92";"ar    ";"?????? ????? ?????."
"82";"th    ";"????????????????????????"
"44";"he    ";"??????? ????????????? ?????? ????."
"127";"en    ";"Wide-link design."
"67";"en    ";"Cut-out shell for a more comfortable ride."
"41";"fr    ";"VTT, course ou promenade entre amis sur un v�lo a�rodynamique et l�ger. B�n�ficie d'un syst�me de selle perfectionn� qui offre un confort optimal."
"43";"ar    ";"?????? ??????? ??????? ??????? ?????? ??????????? ???????? ????? ??????? ???????."
"16";"en    ";"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
"60";"th    ";"?????????????????????????????"
"49";"en    ";"Replacement road front wheel for entry-level cyclist."
"79";"en    ";"Synthetic leather. Features gel for increased comfort."
"33";"fr    ";"L�g�re, a�r�e, taille unique, avec une visi�re amovible."
"61";"en    ";"High-quality 1"" threadless headset with a grease port for quick lubrication."
"87";"en    ";"Incredible traction, lightweight carbon reinforced."
"72";"he    ";"???? ????????? ?- 10 ???????? ?? ????? ????? ?????."
"89";"he    ";"???? ??????? ????? ???? ???? ????? ?????."
"74";"ar    ";"???? ???????? ????? ????? ??????? ?? ?????? ????? ???? ???????? ????? ?? ?????? ?????? ??? ?????? ???????."
"112";"zh-cht";"???????????????????"
"126";"ar    ";"???? ???? ?????? ????? ?????? ???????? ?????????."
"25";"ar    ";"???? ??????? ???? ?????? ???????? ??????? ????????. ?????? ???? ?? ??????? ?? ???? ???? ???? ????????? Adventure Works Cycles? ??? ?? ????? ?????? ?? ?????????? ?????? ???????? ???????? ??? ??????? ????? ????? ???? ??????? ?????? ?? ???????."
"61";"he    ";"???? ????? ????? ????? 1 ????' ?? ??? ???? ????? ?????."
"27";"en    ";"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
"73";"zh-cht";"??????????????????"
"119";"fr    ";"Nettoie les salet�s�; dissout la graisse. Prot�ge l'environnement. Bouteille d'1�litre."
"101";"fr    ";"P�dalier triple plateaux�; manivelle en aluminium�; changement de braquet impeccable."
"121";"zh-cht";"???????????????"
"82";"fr    ";"Selle l�g�re avec renfort en mousse."
"21";"fr    ";"Pour les v�ritables passionn�s du VTT. Un v�lo extr�mement robuste qui vous permettra d'aller partout, m�me sur les terrains difficiles, pour un budget raisonnable."
"84";"fr    ";"Selle de course l�g�re en Kevlar. Cuir."
"14";"zh-cht";"ML ???????????????????????? HL ?????????????????????"
"42";"th    ";"???????????????????????????????????????????????"
"79";"th    ";"??????????????  ?????????????????????????"
"32";"zh-cht";"??????????????????????????????????"
"58";"th    ";"??????????????????? ????????????????????????????????????????????? ???????????????????????"
"48";"ar    ";"???? ????? ????? ?? ?????????? ???? ????? ????? ??? ????? ??????? ??????? ?????."
"57";"zh-cht";"?????????????????????"
"1";"en    ";"Light-weight, wind-resistant, packs to fit into a pocket."
"110";"en    ";"Rugged weatherproof headlight."
"91";"zh-cht";"??????"
"116";"zh-cht";"????????????????????????????? 160psi?"
"7";"zh-cht";"HL ???????????????????????????????????????????????"
"7";"fr    ";"Le cadre HL est profil� afin d'associer �l�gance et robustesse�; il est pr�vu pour r�sister � une utilisation quotidienne intensive. Version hommes."
"83";"ar    ";"????? ?????? ???? ???????."
"57";"fr    ";"Barre d'appui avec tube en aluminium ergonomique pour r�pondre aux besoins de tous les cyclistes."
"109";"ar    ";"????? ????? ????? ??????? ???? ?????? ?????."
"86";"zh-cht";"??????????????"
"58";"he    ";"????? ?????? ???????; ???? ??????? ??????? ????? ??????? ??????? ?????????."
"60";"fr    ";"Bo�tier de protection herm�tique."
"120";"he    ";"???? ?????? ???? ????? ???? ?? ???? ???. ???? ????? ?????? ???????."
"30";"th    ";"???????????????????????? ??????????????????????????????????????????  ??????????????? ????? ??????????????????????????????????????"
"36";"zh-cht";"???????????????????????????????????????????????"
"22";"ar    ";"???? ??? ??????? ????? ?????? ?? ?????? ?? ???? ??????? ?????. ??? ????? ????? ????????? ???????? ?????? ????????? ??? ???????? ??? ????????? ??????? ???? ???? ????? ?? ??????? ??? ????? ??? ???????."
"36";"th    ";"????????????????????????? ??????????????????????????????????  ?????????????? ????????????????????????????????????????????????????????????"
"34";"ar    ";"????????? ??????? ?????? ??????? ??? ?????. ??? ?? ????? ??? ??????? ?????? ???? ????? ?????? ???????. ???? ?? ?????? ?????? ?? ?????? ??????? ??????? ??? ???? ????? ?????????. ???? ?????? ????? ?????????? ????? ??????? ??? ????? ??? ??? ?????."
"90";"en    ";"Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight."
"9";"th    ";"???? LL ?????????????????????????????? ???????????????????????? ????????????????????????????"
"2";"en    ";"Traditional style with a flip-up brim; one-size fits all."
"102";"fr    ";"Patins de freinage pour tous les temps�; freinage renforc� par l'application d'une plus grande surface sur la jante."
"72";"fr    ";"D�railleur en aluminium 10�vitesses avec supports de galet herm�tiques."
"91";"fr    ";"Caoutchouc haute densit�."
"72";"th    ";"?????????????????? 10 ?????????????????????????????????"
"112";"he    ";"???? ????????? ??? ???? ?? ?????? ???? ???."
"56";"en    ";"Unique shape provides easier reach to the levers."
"64";"fr    ";"Acier inoxydable�; facile � nettoyer."
"60";"zh-cht";"?????????????"
"70";"ar    ";"??????? ?? ???? ???????? ???? ??? ???? ???????."
"116";"fr    ";"Tr�s pratique. Tient dans la poche. Corps en aluminium. 11,2�bars."
"62";"he    ";"???? ?????? ????? ?????? ?????? ??? ???? ??????; ????? ?????? ??? ????."
"41";"ar    ";"????? ???????? ??? ??????? ??????? ???? ????? ?????? ??????????? ???????? ?????? ??? ?????? ?????? ?? ??????? ?? ???? ???????? ?? ???? ???????. ????? ?? ????? ??????? ???????? ?????? ???? ?????."
"58";"ar    ";"???? ???? ????? ????? ?????? ????? ?? ???? ?????? ??????? ??? ????? ?? ????? ????????? ????? ??????????."
"120";"fr    ";"Fabrication en nylon r�sistant �tanche d'acc�s facile. Suffisamment grand pour les randonn�es du week-end."
"32";"en    ";"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets."
"12";"ar    ";"????? ????? AWC ?? ????? ?????? ????? ?? ???????? ???? ?????? ??????? ???????."
"65";"fr    ";"Nouvelle conception pour �viter la fatigue lors des longues randonn�es."
"56";"zh-cht";"?????????????????"
"46";"ar    ";"???? ???????? ????? ??????? ?? ?????? ????? ??????."
"108";"ar    ";"????? ??? ??? ????? ??????? ???? ??? ?????? ?????? 3 ??????? AAA."
"30";"fr    ";"V�lo tr�s s�duisant comportant de nombreuses caract�ristiques des mod�les haut de gamme. B�n�ficie du cadre l�ger et rigide, mais aussi de la ligne performante qui ont fait notre r�putation."
"75";"ar    ";"?????? ??????? ????? ????? ?????? ??? ??????."
"41";"zh-cht";"??????????????????????????????????????????????????????????"
"69";"en    ";"Lightweight aluminum alloy construction."
"115";"zh-cht";"????????????????????????"
"45";"en    ";"Replacement mountain wheel for the casual to serious rider."
"59";"en    ";"Threadless headset provides quality at an economical price."
"37";"ar    ";"????? ????? ?????? ?????? ?????????? ????? ??? ????? ?????? ???? ????? ?? ??????? ?????? ?? ???? ??????? ?????? ?????? ???? ???????? ?????? ??????."
"4";"fr    ";"Enti�rement rembourr�, am�lioration de la souplesse de mouvement des doigts, paume renforc�e, fermeture r�glable."
"125";"en    ";"High-performance mountain replacement wheel."
"13";"en    ";"Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers."
"94";"fr    ";"Tube � usage g�n�rique."
"67";"th    ";"????????????????????????????????????"
"122";"th    ";"?????????????????????????????????????????????????????????  ??????????????? ?????????????????????"
"49";"fr    ";"Roue avant pour v�lo de route pour cycliste occasionnel."
"10";"en    ";"Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort."
"115";"en    ";"Wraps to fit front and rear tires, carrier and 2 keys included."
"125";"th    ";"???????????????????????????????????"
"43";"en    ";"Excellent aerodynamic rims guarantee a smooth ride."
"24";"zh-cht";"?????????????????"
"107";"en    ";"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt."
"56";"th    ";"??????????????????????? ??????????????????????????"
"13";"ar    ";"????? ???? ????? ??? ?????? ?????? ?? ???? ??????? ???? ???? ??? ??????? ???????."
"84";"he    ";"???? Kevlar ??-???? ???????. ???."
"2";"ar    ";"??? ?????? ?? ???? ????? ???????? ?????? ???? ???? ????? ??????."
"110";"th    ";"?????????????? ??????"
"115";"fr    ";"S'enroule pour s'adapter aux pneus avant et arri�re, sac et deux cl�s fournis."
"5";"fr    ";"Chaque cadre est fabriqu� artisanalement dans notre atelier de Bordeaux afin d'obtenir le diam�tre et l'�paisseur adapt�s � un v�lo tout-terrain de premier choix. Le cadre en aluminium soud� � chaud pr�sente un tube d'un plus grand diam�tre, afin d'absorber les bosses."
"45";"zh-cht";"???????????????????"
"109";"en    ";"Rechargeable dual-beam headlight."
"34";"th    ";"???????????????????????????????  ?????????????????????????????????????????????????  ??????????????? ?????????????????????  ????????????????????????????????????????????? ???????????????????????????"
"51";"ar    ";"???? ???? ????? ????? ?? ??????."
"61";"fr    ";"Jeu de direction sans filetage 2,54�cm de grande qualit� avec un dispositif de lubrification rapide."
"43";"fr    ";"Excellentes jantes a�rodynamiques pour une conduite en souplesse."
"46";"zh-cht";"???????????"
"19";"fr    ";"VTT de comp�tition haut de gamme. Plusieurs options d'am�lioration des performances�: cadre HL, suspension avant particuli�rement souple et traction adapt�e � tous les terrains."
"123";"en    ";"Replacement mountain wheel for entry-level rider."
"51";"th    ";"?????????????????????????????????????"
"53";"th    ";"??????????????? ???????????????????????"
"1";"th    ";"?????????? ????? ???????????????????????"
"36";"ar    ";"???? ????? ????? ???? ????? ????????? ??? ????? ??? ????? ?????? ??????? ???????? ?? ????????. ??? ????? ??????? ???? ????? ??????? ?? ????? ??? ????? ??????? ?? ????? ?????? ?? ????? ????? ??????? ?????????."
"5";"zh-cht";"??????????? Bothell ??????????????????????????????????????????????????????????"
"35";"th    ";"?????????????????????????????????????????????????? ???????????????? ???????????????????????????????????????? ????????????????? ???????????????"
"85";"ar    ";"??? ?? ????? ???? ????????? ???? ???? ????? ????? ????? ?????."
"81";"zh-cht";"?????????????????????????????"
"116";"ar    ";"????? ?????? ?????? ??????. ????? ??? ?????. ?????? ?? ??????????. ????? ??? ?? ?????? ???????."
"121";"th    ";"????????????????????? ?????????????????????????"
"70";"zh-cht";"??????????????"
"73";"ar    ";"???? ???????? ????? ????? ??????? ?? ?????? ???????? ?????????."
"110";"fr    ";"Feu avant robuste."
"42";"en    ";"Replacement mountain wheel for entry-level rider."
"20";"ar    ";"?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100."
"106";"fr    ";"Fourche pour route en carbone hautes performances avec bras incurv�s."
"40";"zh-cht";"?????????????????????????????????????????????"
"66";"th    ";"???????????????? ???????? ?????????????????????????"
"29";"he    ";"????????? ??? ??? ????? ?????? ???? ""????"" ????, ???? ?????? ????? ?????? ?????. ??????? ???????? ??? ???? ????? ?????????."
"57";"th    ";"??????????????????????????????????????? ???????????????????????"
"77";"en    ";"Aluminum alloy rim with stainless steel spokes; built for speed."
"80";"he    ";"????? ?????? ???????."
"116";"th    ";"????????????????????  ???????????? ??????????????  ????????????????  ???? 160psi"
"30";"en    ";"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
"92";"fr    ";"Tube � autovulcanisation."
"101";"ar    ";"?????? ????? ??????? ????? ????? ????????? ???????? ??? ????? ??? ???? ?????."
"76";"en    ";"Replacement rear wheel for entry-level cyclist."
"37";"th    ";"???????????? ???????????? ?????????????????????????????? ???????????????????????????????? ???????"
"106";"ar    ";"???? ???? ????? ?????? ???????? ?? ??????? ????? ?????? ??? ?????? ??????."
"103";"th    ";"????????????????????????????"
"76";"th    ";"???????????????????????????????????????"
"54";"he    ";"????? ?????? ??????? ????????? ?????? ?????."
"50";"th    ";"?????????????????????? ??????????????????"
"102";"ar    ";"????? ??? ?????? (???) ?????? ????? ???? ?????? ??????? ??? ???? ??????? ????? ????? ???? ?????? ????? ???? ?? ??? ??????? ??? ?????? ???????."
"99";"fr    ";"Axe tr�s rigide."
"97";"th    ";"????????????????????????????????"
"109";"th    ";"??????????????????????????"
"33";"ar    ";"?????? ???? ???? ????? ???????? ?????? ????? ????? ??? ?? ????? ???? ?????? ???????? ????????."
